actual,predicted,mse
0.5169110206757852,0.41054007,0.0022625956174961224
0.4252894578398707,0.4108631,0.0022625956174961224
0.3964984506558313,0.40984762,0.0022625956174961224
0.4342249023582185,0.4063372,0.0022625956174961224
0.4128209412068808,0.405752,0.0022625956174961224
0.3775967670246603,0.40333277,0.0022625956174961224
0.4425683492470786,0.39961085,0.0022625956174961224
0.392456601025751,0.39823675,0.0022625956174961224
0.3957179468589136,0.39674374,0.0022625956174961224
0.3319568390226681,0.40054137,0.0022625956174961224
0.4481062695638195,0.39804262,0.0022625956174961224
0.4924260239383919,0.39692706,0.0022625956174961224
0.4146643928241565,0.39808387,0.0022625956174961224
0.4263221438005744,0.39875805,0.0022625956174961224
0.4492587420523216,0.39916787,0.0022625956174961224
0.4592085893244986,0.39840004,0.0022625956174961224
0.4864783076054989,0.4001332,0.0022625956174961224
0.3958207110906564,0.40880984,0.0022625956174961224
0.4774224461039432,0.41178936,0.0022625956174961224
0.3956845327222119,0.40641907,0.0022625956174961224
0.4334116148800086,0.40634412,0.0022625956174961224
0.390879832046679,0.40220135,0.0022625956174961224
0.4196197723425517,0.4052593,0.0022625956174961224
0.4657029104973978,0.39819124,0.0022625956174961224
0.4108614857942635,0.39504325,0.0022625956174961224
