,ticker,lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
0,AMZN,150,150,50,32,adam,0.0032189349876716
1,AVY,150,150,75,32,adam,0.0019808197161182
2,AXON,150,150,75,32,adam,0.0088771780952811
3,BBWI,150,100,50,32,adam,0.0078065372537821
4,BKNG,150,100,75,64,adam,0.0028575000353157
5,BLDR,150,150,50,32,adam,0.010476109618321
6,CBRE,150,100,50,64,adam,0.0032134448643773
7,CDNS,100,100,50,32,adam,0.0020102895679883
8,CE,150,100,75,32,adam,0.0024231713032349
9,CF,100,150,50,32,adam,0.0042127309832721
10,CHD,150,150,50,32,adam,0.0012472099158912
11,CMCSA,150,100,75,32,adam,0.0015243158442899
12,CMS,150,100,50,32,adam,0.0013121957657858
13,CNC,150,100,50,32,adam,0.0032813684083521
14,COST,150,100,75,32,adam,0.0015594803495332
15,DECK,150,50,75,32,adam,0.0037018510978668
16,DLTR,100,100,75,32,adam,0.003731478867121
17,EA,150,100,50,32,adam,0.0030186612391844
18,EQIX,150,100,75,32,adam,0.0015861942898482
19,FI,150,150,50,32,adam,0.0020050551276654
20,FICO,150,150,50,32,adam,0.0024103470146656
21,GOOGL,150,100,75,32,adam,0.0018325315555557
22,INCY,150,150,50,64,adam,0.0060386587399989
23,LULU,100,50,75,32,adam,0.0045073454268276
24,MA,100,150,75,32,adam,0.0022377082612365
25,MOH,100,150,50,64,adam,0.0044825188815593
26,NDAQ,100,50,50,32,adam,0.0012675335165113
27,NI,150,150,75,32,adam,0.0010459980985615
28,NVDA,100,50,75,32,adam,0.0053929264657199
29,ODFL,100,150,50,32,adam,0.0023148772073909
30,OKE,150,100,75,32,adam,0.0060242988634854
31,PKG,150,50,75,32,adam,0.0023496803129091
32,SBAC,150,50,50,32,adam,0.0020560418255627
33,STLD,150,150,75,32,adam,0.0041355875553563
34,TDG,100,50,75,32,adam,0.0032252094708383
35,TGT,150,100,75,32,adam,0.0027148803230375
36,TYL,100,150,50,32,adam,0.002959621977061
37,UNH,150,100,50,32,adam,0.0015155677101574
38,URI,150,150,50,32,adam,0.0062846553046256
39,V,150,50,75,64,adam,0.0015114021487534
40,VLO,150,50,75,32,adam,0.0063097726553678
41,WST,150,150,75,32,adam,0.0023197825066745
