actual,predicted,mse
0.4718536334721386,0.44256333,0.0023592285576662765
0.4359693724762082,0.44212204,0.0023592285576662765
0.3764714041187652,0.4402397,0.0023592285576662765
0.4484441936632927,0.4349857,0.0023592285576662765
0.4027298719229836,0.43310925,0.0023592285576662765
0.4389180124262762,0.43056804,0.0023592285576662765
0.3538197717120963,0.42472672,0.0023592285576662765
0.5427767147599069,0.42018923,0.0023592285576662765
0.3975809425938827,0.41821092,0.0023592285576662765
0.3768912874214689,0.42256996,0.0023592285576662765
0.4861523621588055,0.42196137,0.0023592285576662765
0.4343081224722679,0.42435747,0.0023592285576662765
0.4044919947924383,0.42834884,0.0023592285576662765
0.4593611595335891,0.42822167,0.0023592285576662765
0.4740684233255893,0.43087885,0.0023592285576662765
0.4130825802018088,0.42834264,0.0023592285576662765
0.4750689560604103,0.4342718,0.0023592285576662765
0.3731028808659936,0.44342157,0.0023592285576662765
0.5028159290863756,0.44771034,0.0023592285576662765
0.4246671983507287,0.4426466,0.0023592285576662765
0.4002900094883539,0.4442611,0.0023592285576662765
0.380584495210115,0.43926153,0.0023592285576662765
0.4287765067096217,0.4429728,0.0023592285576662765
0.5178132023667297,0.43501177,0.0023592285576662765
0.4351314972370292,0.43094113,0.0023592285576662765
