,ticker,lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
0,AMZN,150,100,75,32,adam,0.0029868378769606
1,AVY,150,150,75,32,adam,0.0018126863287761
2,AXON,150,150,50,32,adam,0.0083205355331301
3,BBWI,100,50,75,32,adam,0.0085324625717476
4,BKNG,100,100,75,32,adam,0.003283899766393
5,BLDR,100,100,50,32,adam,0.0114224098622798
6,CBRE,150,100,75,32,adam,0.0029814552981406
7,CDNS,150,100,75,32,adam,0.0021442663157358
8,CE,100,100,50,32,adam,0.0024656199850142
9,CF,150,150,50,32,adam,0.0046032907906919
10,CHD,150,150,50,32,adam,0.001472105726134
11,CMCSA,100,150,75,32,adam,0.0018221765058115
12,CMS,150,100,50,32,adam,0.0013029934605583
13,CNC,100,100,50,32,adam,0.0032619325444102
14,COST,150,150,75,32,adam,0.0013655804214067
15,DECK,150,150,75,32,adam,0.0036508212564513
16,DLTR,100,100,50,32,adam,0.0027893139980733
17,EA,150,50,50,32,adam,0.0027729413472115
18,EQIX,150,50,75,64,adam,0.0015552097000181
19,FI,150,150,50,32,adam,0.0014272186439484
20,FICO,150,50,75,32,adam,0.0029842329677194
21,GOOGL,150,150,50,64,adam,0.001837800676003
22,INCY,100,50,75,32,adam,0.0058564513921737
23,LULU,150,50,75,32,adam,0.0046973078977316
24,MA,150,100,50,64,adam,0.0019260282162576
25,MOH,100,150,50,32,adam,0.0042164833750575
26,NDAQ,100,100,75,32,adam,0.0012865040916949
27,NI,150,150,50,32,adam,0.0013049315777607
28,NVDA,100,50,50,32,adam,0.0071174214128404
29,ODFL,100,50,50,32,adam,0.0024579266551882
30,OKE,150,50,50,32,adam,0.0055894231889396
31,PKG,150,50,75,32,adam,0.0021350502967834
32,SBAC,100,50,75,32,adam,0.0018443797715008
33,STLD,150,150,50,32,adam,0.0040225365664809
34,TDG,150,50,50,32,adam,0.0031676159589551
35,TGT,150,100,50,32,adam,0.0030085523147135
36,TYL,100,100,50,32,adam,0.0026863634586334
37,UNH,100,100,75,32,adam,0.0017090583452954
38,URI,150,50,50,32,adam,0.0056718862615525
39,V,150,100,50,32,adam,0.0015719156013801
40,VLO,100,100,75,32,adam,0.0059660333208739
41,WST,100,100,50,32,adam,0.0024944000644609
