actual,predicted,mse
0.360819087667977,0.37709907,0.004999695989777941
0.407868083510124,0.37429282,0.004999695989777941
0.431332372939593,0.36991495,0.004999695989777941
0.477246549044702,0.36574584,0.004999695989777941
0.432354971613745,0.36661643,0.004999695989777941
0.373221406482973,0.369305,0.004999695989777941
0.527012177246234,0.37267646,0.004999695989777941
0.388962617146496,0.37325048,0.004999695989777941
0.432189161841056,0.37344053,0.004999695989777941
0.425031601577399,0.37382528,0.004999695989777941
0.438558022387472,0.37491694,0.004999695989777941
0.365525437299633,0.3747479,0.004999695989777941
0.390441035081691,0.37515506,0.004999695989777941
0.497213702317869,0.37471625,0.004999695989777941
0.469569493523647,0.37402064,0.004999695989777941
0.429510987261648,0.37320563,0.004999695989777941
0.46220073069782,0.37350234,0.004999695989777941
0.363942994221876,0.3741488,0.004999695989777941
0.385792687347706,0.37361857,0.004999695989777941
0.443035516705492,0.37291965,0.004999695989777941
0.315408014979621,0.37168232,0.004999695989777941
0.431537270947669,0.3702341,0.004999695989777941
0.43925467561493,0.3692669,0.004999695989777941
0.432381450740943,0.36890888,0.004999695989777941
0.358322484246495,0.36840573,0.004999695989777941
0.382460730508683,0.36924258,0.004999695989777941
0.429159823598576,0.36959505,0.004999695989777941
0.522404178658454,0.3690054,0.004999695989777941
