actual,predicted,mse
0.37736097670152,0.46643722,0.013373228495451873
0.57199895344402,0.4607294,0.013373228495451873
0.599667749999212,0.45377326,0.013373228495451873
0.361448912622033,0.46140766,0.013373228495451873
0.318794821439267,0.46912986,0.013373228495451873
0.42176647301178,0.47157234,0.013373228495451873
0.499473884960801,0.47050744,0.013373228495451873
0.222448625764821,0.46598262,0.013373228495451873
0.428616371035618,0.46375415,0.013373228495451873
0.30588687738588,0.46247202,0.013373228495451873
0.54930192824787,0.4595374,0.013373228495451873
0.317839051038518,0.45303434,0.013373228495451873
0.301108025382135,0.45131168,0.013373228495451873
0.494896778688085,0.45043436,0.013373228495451873
0.58458536523858,0.44701535,0.013373228495451873
0.338346504597596,0.44180632,0.013373228495451873
0.636747984906898,0.43968236,0.013373228495451873
0.543087529276773,0.44253373,0.013373228495451873
0.548334809649751,0.44323242,0.013373228495451873
0.423731602523083,0.44311967,0.013373228495451873
0.653497924225564,0.44943708,0.013373228495451873
0.498887561429999,0.45425433,0.013373228495451873
0.490345521087157,0.45954138,0.013373228495451873
0.45979617376612,0.46672496,0.013373228495451873
0.349614003675555,0.4754783,0.013373228495451873
0.384959225296393,0.4784418,0.013373228495451873
0.516972174850503,0.47605646,0.013373228495451873
0.461517947489369,0.472438,0.013373228495451873
