actual,predicted,mse
0.468326865911591,0.4610816,0.0034589399068393153
0.436029265740107,0.4606864,0.0034589399068393153
0.336605186756654,0.46085623,0.0034589399068393153
0.485820112158017,0.46355492,0.0034589399068393153
0.440458845447009,0.4647955,0.0034589399068393153
0.363576699628977,0.46534002,0.0034589399068393153
0.34505896334217,0.4633243,0.0034589399068393153
0.362173936342917,0.46250844,0.0034589399068393153
0.391887930246413,0.4607122,0.0034589399068393153
0.405897910355545,0.45650706,0.0034589399068393153
0.431033537075507,0.45258534,0.0034589399068393153
0.393356260895058,0.4508232,0.0034589399068393153
0.567222623261913,0.45214698,0.0034589399068393153
0.441194586909854,0.45416906,0.0034589399068393153
0.406800722501899,0.4574156,0.0034589399068393153
0.499632129268577,0.45851713,0.0034589399068393153
0.512558356528839,0.45995927,0.0034589399068393153
0.424809681273268,0.4587854,0.0034589399068393153
0.469097282421958,0.46057472,0.0034589399068393153
0.407952564534992,0.463287,0.0034589399068393153
0.474640246381974,0.46578485,0.0034589399068393153
0.466144859739433,0.46504486,0.0034589399068393153
0.418658958298527,0.46486804,0.0034589399068393153
0.494261279635345,0.46495974,0.0034589399068393153
0.443519706459961,0.46593273,0.0034589399068393153
0.407436852010049,0.46648413,0.0034589399068393153
0.40649306026208,0.46671113,0.0034589399068393153
0.526117561020203,0.46706682,0.0034589399068393153
0.495019717492931,0.46604005,0.0034589399068393153
0.4286018705612,0.46565437,0.0034589399068393153
