actual,predicted,mse
0.413624771853949,0.43601513,0.0014874063405773995
0.441540076474241,0.435914,0.0014874063405773995
0.420277967790033,0.4361702,0.0014874063405773995
0.50410647130955,0.43630168,0.0014874063405773995
0.460216687524233,0.43654153,0.0014874063405773995
0.424043047495358,0.43871775,0.0014874063405773995
0.486911430471801,0.4419743,0.0014874063405773995
0.375893276508286,0.44459745,0.0014874063405773995
0.474812360708758,0.44629517,0.0014874063405773995
0.385076490002553,0.44720498,0.0014874063405773995
0.448845793759122,0.44745758,0.0014874063405773995
0.405909889008325,0.44543195,0.0014874063405773995
0.332074103728829,0.44405404,0.0014874063405773995
0.442762529513194,0.4426187,0.0014874063405773995
0.479584277702999,0.4405112,0.0014874063405773995
0.41263369595027,0.43875417,0.0014874063405773995
0.431954632428735,0.43686318,0.0014874063405773995
0.422776462577743,0.4367347,0.0014874063405773995
0.436548760997507,0.43709573,0.0014874063405773995
0.441278437479313,0.43620774,0.0014874063405773995
0.389588028912685,0.43630084,0.0014874063405773995
0.435152302265542,0.43684727,0.0014874063405773995
0.441425333589719,0.4372603,0.0014874063405773995
0.399909844876447,0.43707526,0.0014874063405773995
0.375363063508926,0.43670717,0.0014874063405773995
0.443015342132389,0.43672886,0.0014874063405773995
0.436394929877597,0.43637747,0.0014874063405773995
0.446742594513147,0.4352477,0.0014874063405773995
