actual,predicted,mse
0.430561325973817,0.43025014,0.0014096457110432522
0.3878971475045,0.4302542,0.0014096457110432522
0.536875652127314,0.4301192,0.0014096457110432522
0.402118330175803,0.42985532,0.0014096457110432522
0.508627467050824,0.42992708,0.0014096457110432522
0.387240843423247,0.42989564,0.0014096457110432522
0.428769571700118,0.4300392,0.0014096457110432522
0.471465272939908,0.42999068,0.0014096457110432522
0.422611913715873,0.43003646,0.0014096457110432522
0.409775841579165,0.43006775,0.0014096457110432522
0.447845261024301,0.43009204,0.0014096457110432522
0.45960703714328,0.42980316,0.0014096457110432522
0.397618769918451,0.4297064,0.0014096457110432522
0.409022447364854,0.4296675,0.0014096457110432522
0.486920887302943,0.42970115,0.0014096457110432522
0.415974479165025,0.42958316,0.0014096457110432522
0.406032197357761,0.42960033,0.0014096457110432522
0.387515721981774,0.4295061,0.0014096457110432522
0.39500364087999,0.42930454,0.0014096457110432522
0.422115114853214,0.42901298,0.0014096457110432522
0.450380952681169,0.42866042,0.0014096457110432522
0.418153333060136,0.42831284,0.0014096457110432522
0.418259880024336,0.42827955,0.0014096457110432522
0.458117271010715,0.42813024,0.0014096457110432522
0.387277409836996,0.42807767,0.0014096457110432522
0.4633784214027,0.42811483,0.0014096457110432522
0.463593406697328,0.42808306,0.0014096457110432522
0.444861946026712,0.42819148,0.0014096457110432522
0.396297335380212,0.42845887,0.0014096457110432522
