Date,Date_prev,Close,Return
2010/2/1,2010/1/31,1104.48999,0.028513689
2010/3/1,2010/2/28,1169.430054,0.058796426
2010/4/1,2010/3/31,1186.689941,0.01475923
2010/5/1,2010/4/30,1089.410034,-0.081975842
2010/6/1,2010/5/31,1030.709961,-0.053882442
2010/7/1,2010/6/30,1101.599976,0.06877785
2010/8/1,2010/7/31,1049.329956,-0.047449184
2010/9/1,2010/8/31,1141.199951,0.087551103
2010/10/1,2010/9/30,1183.26001,0.036855994
2010/11/1,2010/10/31,1180.550049,-0.00229025
2010/12/1,2010/11/30,1257.640015,0.06530004
2011/1/1,2010/12/31,1286.119995,0.022645574
2011/2/1,2011/1/31,1327.219971,0.031956564
2011/3/1,2011/2/28,1325.829956,-0.001047313
2011/4/1,2011/3/31,1363.609985,0.028495381
2011/5/1,2011/4/30,1345.199951,-0.013500953
2011/6/1,2011/5/31,1320.640015,-0.018257462
2011/7/1,2011/6/30,1292.280029,-0.021474425
2011/8/1,2011/7/31,1218.890015,-0.056791108
2011/9/1,2011/8/31,1131.420044,-0.071761988
2011/10/1,2011/9/30,1253.300049,0.107723038
2011/11/1,2011/10/31,1246.959961,-0.005058715
2011/12/1,2011/11/30,1257.599976,0.008532764
2012/1/1,2011/12/31,1312.410034,0.043583063
2012/2/1,2012/1/31,1365.680054,0.040589464
2012/3/1,2012/2/29,1408.469971,0.031332315
2012/4/1,2012/3/31,1397.910034,-0.007497452
2012/5/1,2012/4/30,1310.329956,-0.062650726
2012/6/1,2012/5/31,1362.160034,0.039554982
2012/7/1,2012/6/30,1379.319946,0.012597574
2012/8/1,2012/7/31,1406.579956,0.01976337
2012/9/1,2012/8/31,1440.670044,0.024236154
2012/10/1,2012/9/30,1412.160034,-0.01978941
2012/11/1,2012/10/31,1416.180054,0.002846717
2012/12/1,2012/11/30,1426.189941,0.007068231
2013/1/1,2012/12/31,1498.109985,0.050428096
2013/2/1,2013/1/31,1514.680054,0.011060649
2013/3/1,2013/2/28,1569.189941,0.035987724
2013/4/1,2013/3/31,1597.569946,0.018085768
2013/5/1,2013/4/30,1630.73999,0.020762812
2013/6/1,2013/5/31,1606.280029,-0.014999302
2013/7/1,2013/6/30,1685.72998,0.04946208
2013/8/1,2013/7/31,1632.969971,-0.031298019
2013/9/1,2013/8/31,1681.550049,0.029749523
2013/10/1,2013/9/30,1756.540039,0.044595753
2013/11/1,2013/10/31,1805.810059,0.028049471
2013/12/1,2013/11/30,1848.359985,0.023562792
2014/1/1,2013/12/31,1782.589966,-0.035582906
2014/2/1,2014/1/31,1859.449951,0.04311703
2014/3/1,2014/2/28,1872.339966,0.006932165
2014/4/1,2014/3/31,1883.949951,0.006200789
2014/5/1,2014/4/30,1923.569946,0.02103028
2014/6/1,2014/5/31,1960.22998,0.019058332
2014/7/1,2014/6/30,1930.670044,-0.015079831
2014/8/1,2014/7/31,2003.369995,0.037655296
2014/9/1,2014/8/31,1972.290039,-0.015513837
2014/10/1,2014/9/30,2018.050049,0.023201461
2014/11/1,2014/10/31,2067.560059,0.024533589
2014/12/1,2014/11/30,2058.899902,-0.004188588
2015/1/1,2014/12/31,1994.98999,-0.031040806
2015/2/1,2015/1/31,2104.5,0.054892511
2015/3/1,2015/2/28,2067.889893,-0.017396107
2015/4/1,2015/3/31,2085.51001,0.00852082
2015/5/1,2015/4/30,2107.389893,0.010491382
2015/6/1,2015/5/31,2063.110107,-0.021011672
2015/7/1,2015/6/30,2103.840088,0.019742029
2015/8/1,2015/7/31,1972.180054,-0.062580818
2015/9/1,2015/8/31,1920.030029,-0.026442831
2015/10/1,2015/9/30,2079.360107,0.082983118
2015/11/1,2015/10/31,2080.409912,0.000504869
2015/12/1,2015/11/30,2043.939941,-0.017530185
2016/1/1,2015/12/31,1940.23999,-0.050735322
2016/2/1,2016/1/31,1932.22998,-0.00412836
2016/3/1,2016/2/29,2059.73999,0.065991114
2016/4/1,2016/3/31,2065.300049,0.002699398
2016/5/1,2016/4/30,2096.949951,0.015324603
2016/6/1,2016/5/31,2098.860107,0.000910921
2016/7/1,2016/6/30,2173.600098,0.035609801
2016/8/1,2016/7/31,2170.949951,-0.001219243
2016/9/1,2016/8/31,2168.27002,-0.001234451
2016/10/1,2016/9/30,2126.149902,-0.019425679
2016/11/1,2016/10/31,2198.810059,0.034174522
2016/12/1,2016/11/30,2238.830078,0.018200762
2017/1/1,2016/12/31,2278.870117,0.017884358
2017/2/1,2017/1/31,2363.639893,0.03719816
2017/3/1,2017/2/28,2362.719971,-0.000389197
2017/4/1,2017/3/31,2384.199951,0.009091209
2017/5/1,2017/4/30,2411.800049,0.011576251
2017/6/1,2017/5/31,2423.409912,0.004813775
2017/7/1,2017/6/30,2470.300049,0.019348826
2017/8/1,2017/7/31,2471.649902,0.000546433
2017/9/1,2017/8/31,2519.360107,0.019302979
2017/10/1,2017/9/30,2575.26001,0.022188135
2017/11/1,2017/10/31,2647.580078,0.028082628
2017/12/1,2017/11/30,2673.610107,0.009831631
2018/1/1,2017/12/31,2823.810059,0.056178704
2018/2/1,2018/1/31,2713.830078,-0.038947372
2018/3/1,2018/2/28,2640.870117,-0.026884499
2018/4/1,2018/3/31,2648.050049,0.002718775
2018/5/1,2018/4/30,2705.27002,0.021608342
2018/6/1,2018/5/31,2718.370117,0.004842436
2018/7/1,2018/6/30,2816.290039,0.036021556
